Document_ID,Company_Name,Statement,Financial_Year,Quarter,Revenue,Expenses,Profit,Assets,Liabilities,Equity,Profit_Margin,Profit_Category,Year,Growth_Rate,Debt_to_Equity_Ratio,Return_on_Assets,Current_Ratio,Cash_Flow,Investment_Score,Risk_Level
DOC_0001,Charles and Sons,"Revenue for Q2 2021 was 11616388.99 with corresponding expenses of 22813300.8, leading to a profit of -11196911.81. Risk profile: High.",2019-2020,Q2,11616388.99,22813300.8,-11196911.81,9942854.79,48363359.87,-38420505.08,-96.39,Low,2021,14.39,-1.26,-112.61,1.49,-11767748.81,58.25,High
DOC_0002,Hamilton-Spencer,"For Q1 2020, financial growth stood at -5.65%, with profit margins rated as High and overall investment risk categorized as High.",2020-2021,Q1,48164374.54,2027810.15,46136564.39,88820700.85,19873404.42,68947296.43,95.79,High,2020,-5.65,0.29,51.94,1.0,47444127.49,44.03,High
DOC_0003,"White, Li and Chambers","Q4 2024 performance shows revenue at 24330063.4, expenses at 18483847.5, and profit reaching 5846215.9. The period closed with a High margin.",2022-2023,Q4,24330063.4,18483847.5,5846215.9,72033429.73,45635032.34,26398397.39,24.03,High,2024,10.97,1.73,8.12,1.12,6118786.55,62.92,Low
DOC_0004,Brown-Martin,"The company's Q2 2024 financials reflect a Low margin and High risk, supported by -7.21% growth in profitability.",2024-2025,Q2,14447350.72,28769659.02,-14322308.3,15020483.24,28932536.51,-13912053.27,-99.13,Low,2024,-7.21,-2.08,-95.35,2.52,-15511501.34,59.38,High
DOC_0005,Mccullough Ltd,2021 Q1 results indicate a profit of -5449412.82 with -5.41% growth and classified as High risk under Low margin.,2024-2025,Q1,8436818.5,13886231.32,-5449412.82,24213366.64,36012671.24,-11799304.6,-64.59,Low,2021,-5.41,-3.05,-22.51,2.34,-5848064.23,51.01,High
DOC_0006,Carter Inc,"Revenue for Q1 2020 was 19091863.26 with corresponding expenses of 16240930.47, leading to a profit of 2850932.79. Risk profile: High.",2019-2020,Q1,19091863.26,16240930.47,2850932.79,30619248.7,35490788.35,-4871539.65,14.93,Medium,2020,9.55,-7.29,9.31,1.14,3108235.7,48.51,High
DOC_0007,Swanson Ltd,"For Q3 2021, the firm achieved a 9.44% growth rate, with total revenue of 39404302.79, profit of 22753961.82, and categorized as Low risk.",2022-2023,Q3,39404302.79,16650340.97,22753961.82,64432427.0,25408917.85,39023509.15,57.74,High,2021,9.44,0.65,35.31,2.62,20925380.99,93.85,Low
DOC_0008,Clark-Hunter,"Revenue for Q2 2024 was 6733073.64 with corresponding expenses of 16445031.74, leading to a profit of -9711958.1. Risk profile: High.",2019-2020,Q2,6733073.64,16445031.74,-9711958.1,37155597.92,5170568.24,31985029.68,-144.24,Low,2024,5.97,0.16,-26.14,2.6,-10386578.21,62.0,High
DOC_0009,Johnson PLC,"The company's Q3 2020 financials reflect a High margin and Low risk, supported by 16.03% growth in profitability.",2021-2022,Q3,29175620.98,1844980.63,27330640.35,96043934.66,35868320.72,60175613.94,93.68,High,2020,16.03,0.6,28.46,1.67,27766439.33,66.02,Low
DOC_0010,Potts-Christian,2018 Q1 results indicate a profit of -12565956.56 with 19.47% growth and classified as High risk under Low margin.,2020-2021,Q1,14798235.38,27364191.94,-12565956.56,9668420.2,48725604.85,-39057184.65,-84.92,Low,2018,19.47,-1.25,-129.97,2.42,-12985856.12,43.78,High
